,Name,Platform,Year,Genre,Publisher,Global_Sales
8311,Jillian Michaels Fitness Ultimatum 2011,Wii,2010.0,Sports,D3Publisher,0.17
7999,Hello Kitty: Birthday Adventures,DS,2010.0,Adventure,Namco Bandai Games,0.18
1863,NBA Live 2001,PS2,2001.0,Sports,Electronic Arts,1.1
12466,PenPen TriIceLon,DC,1998.0,Racing,Infogrames,0.06
13819,Stuntman,GBA,2003.0,Racing,Atari,0.04
4460,Puppy Luv: Spa and Resort,DS,2007.0,Simulation,Activision,0.44
4668,Castlevania: The Dracula X Chronicles,PSP,2007.0,Platform,Konami Digital Entertainment,0.42
14190,Batman Forever: The Arcade Game,PS,1996.0,Action,Acclaim Entertainment,0.03
7364,World Poker Tour,PS2,2005.0,Misc,Take-Two Interactive,0.21
10576,Monster Rancher EVO,PS2,2005.0,Role-Playing,Tecmo Koei,0.1
11394,PoPoLoCrois (JP sales),PSP,2005.0,Role-Playing,Ignition Entertainment,0.08
14259,Toushin Toshi,3DS,2014.0,Role-Playing,imageepoch Inc.,0.03
448,Mass Effect 2,X360,2010.0,Role-Playing,Electronic Arts,3.11
2432,Madden NFL 09 All-Play,Wii,2008.0,Sports,Electronic Arts,0.85
3218,The Sims 3: Generations,PC,2011.0,Simulation,Electronic Arts,0.63
8478,Dungeon Siege: Throne of Agony,PSP,2006.0,Role-Playing,Take-Two Interactive,0.16
544,Missile Command,2600,1980.0,Shooter,Atari,2.76
14599,Doom,PC,1992.0,Shooter,id Software,0.03
11549,futureU: The Prep Game for SAT,DS,2008.0,Misc,Aspyr,0.08
1612,2010 FIFA World Cup South Africa,PS3,2010.0,Sports,Electronic Arts,1.23
1015,Xenosaga Episode I: Der Wille zur Macht,PS2,2002.0,Role-Playing,Namco Bandai Games,1.74
13940,Aquanaut's Holiday: Kakusareta Kiroku,PS3,2008.0,Adventure,Sony Computer Entertainment,0.04
262,Batman: Arkham Asylum,PS3,2009.0,Action,Eidos Interactive,4.25
10119,Samurai Warriors 4-II,PS3,2015.0,Action,Tecmo Koei,0.11
6352,Ben 10 Triple Pack,DS,2011.0,Misc,D3Publisher,0.27
1453,FIFA Soccer 08,X360,2007.0,Sports,Electronic Arts,1.35
10153,Spyborgs,Wii,2009.0,Action,Capcom,0.11
5947,Trace Memory,DS,2005.0,Adventure,Nintendo,0.3
8516,Let's Ride: Sunshine Stables,GBA,2005.0,Sports,DTP Entertainment,0.16
15439,Nervous Brickdown,DS,2007.0,Puzzle,Eidos Interactive,0.02
10857,Fresh PreCure! Asobi Collection,DS,2009.0,Action,Namco Bandai Games,0.09
13075,To Heart 2: Dungeon Travelers,PSV,2015.0,Adventure,Aqua Plus,0.05
2050,Monster Rancher,PS,1997.0,Simulation,Tecmo Koei,1.01
5282,Batman: Rise of Sin Tzu,PS2,2003.0,Action,Ubisoft,0.35
247,Michael Jackson: The Experience,Wii,2010.0,Misc,Ubisoft,4.42
9025,Ratatouille,GC,2007.0,Action,THQ,0.14
7368,GRID Autosport,PS3,2014.0,Racing,Codemasters,0.21
14127,Tokyo Majin Gakuen: Kenfuuchou,DS,2008.0,Adventure,Marvelous Interactive,0.03
11027,Jikkyou Powerful Pro Yakyuu 9 Ketteiban,PS2,2002.0,Sports,Konami Digital Entertainment,0.09
6990,World Series Baseball,XB,2002.0,Sports,Sega,0.23
10954,The Idolmaster: Platinum Stars,PS4,2016.0,Simulation,Namco Bandai Games,0.09
4038,Grandia III,PS2,2005.0,Role-Playing,Square Enix,0.49
14208,Super Dodgeball Brawlers (jp sales),DS,2008.0,Sports,Arc System Works,0.03
5418,NHL 09,PS3,2008.0,Sports,Electronic Arts,0.34
693,Dead Island,PS3,2011.0,Action,Deep Silver,2.29
2317,FIFA Soccer 09 All-Play,Wii,2008.0,Sports,Electronic Arts,0.9
15798,Simple 2000 Series Vol. 105: The Maid Fuku to Kikanjuu,PS2,2006.0,Action,D3Publisher,0.02
4941,Sesame Street: Elmo's A-to-Zoo Adventure,Wii,2010.0,Misc,Warner Bros. Interactive Entertainment,0.39
8139,Chuck E. Cheese's Party Games,DS,2010.0,Misc,UFO Interactive,0.18
14011,World of Goo,PC,2008.0,Puzzle,2D Boy,0.04
3779,Sesame Street: Once Upon A Monster,X360,2011.0,Misc,Warner Bros. Interactive Entertainment,0.53
3831,Fight Night Round 3,PSP,2006.0,Fighting,Electronic Arts,0.52
3525,No More Heroes,Wii,2007.0,Action,Rising Star Games,0.57
10479,May's Mystery: Forbidden Memories,DS,2011.0,Puzzle,Mastertronic,0.1
4089,Active Life: Extreme Challenge,Wii,2009.0,Sports,Namco Bandai Games,0.48
2692,Mercenaries: Playground of Destruction,PS2,2005.0,Action,LucasArts,0.76
9598,Fit in Six,PS3,2011.0,Sports,Ubisoft,0.13
9775,Mountain Sports,Wii,2009.0,Sports,Activision,0.12
9786,Go! Sudoku,PSP,2005.0,Puzzle,Sony Computer Entertainment,0.12
6615,Spelling Challenges and more!,PSP,2007.0,Misc,Crave Entertainment,0.25
11542,The First Templar,PC,2011.0,Action,Kalypso Media,0.08
4573,The Legend of Spyro: The Eternal Night,PS2,2007.0,Platform,Vivendi Games,0.42
14021,S.T.A.L.K.E.R.: Clear Sky,PC,2008.0,Shooter,Deep Silver,0.04
10905,Shockwave Assault,PS,1995.0,Simulation,Electronic Arts,0.09
4744,The Wonderful 101,WiiU,2013.0,Action,Nintendo,0.41
6415,InuYasha: Feudal Combat,PS2,2005.0,Fighting,Namco Bandai Games,0.27
2084,The Simpsons: Hit & Run,GC,2003.0,Racing,Vivendi Games,0.99
5863,Squinkies,DS,2011.0,Misc,Activision,0.3
9734,Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,3DS,2014.0,Misc,Namco Bandai Games,0.12
6256,Kobitodzukan: Kobito Kansatsu Set,3DS,2012.0,Misc,Nippon Columbia,0.28
350,Resident Evil 4,PS2,2005.0,Action,Capcom,3.62
5284,Cabela's Dangerous Hunts,XB,2003.0,Sports,Zoo Digital Publishing,0.35
12675,MLB Power Pros 2008,DS,2008.0,Sports,Take-Two Interactive,0.06
993,Def Jam: Fight for NY,PS2,2004.0,Fighting,Electronic Arts,1.76
6654,Madagascar: Escape 2 Africa,X360,2008.0,Action,Activision,0.25
9437,Eat Lead: The Return of Matt Hazard,PS3,2009.0,Shooter,D3Publisher,0.13
14179,Special Forces: Nemesis Strike,XB,2005.0,Shooter,Hip Interactive,0.03
2814,Katamari Damacy,PS2,2004.0,Puzzle,Namco Bandai Games,0.73
14317,Big Ichigeki! Pachi-Slot Taikouryku Universal Museum,SAT,1996.0,Misc,ASK,0.03
16491,Summer Athletics,PC,2008.0,Sports,DTP Entertainment,0.01
3603,Barbie Groovy Games,GBA,2002.0,Misc,Universal Interactive,0.56
4210,NHL 15,X360,2014.0,Sports,Electronic Arts,0.47
1104,NBA Live 2003,PS2,2002.0,Sports,Electronic Arts,1.66
13622,The Sims Deluxe,PC,2002.0,Simulation,Electronic Arts,0.04
5298,Def Jam Rapstar,Wii,2010.0,Misc,Konami Digital Entertainment,0.35
11759,Famicom Mini: Hikari Shinwa: Palutena no Kagami,GBA,2004.0,Platform,Nintendo,0.07
2180,Cars 2,Wii,2011.0,Racing,Disney Interactive Studios,0.95
3190,Tony Hawk's Pro Skater 2x,XB,2001.0,Sports,Activision,0.63
6347,Call of Juarez: The Cartel,X360,2011.0,Shooter,Ubisoft,0.27
2052,DiRT 2,PS3,2009.0,Racing,Codemasters,1.01
4366,Eternal Sonata,PS3,2008.0,Role-Playing,Atari,0.45
15198,Darksiders,PS3,2010.0,Action,THQ,0.02
12770,Dance Dance Revolution: Mario Mix (JP sales),GC,2005.0,Simulation,Nintendo,0.06
5357,SoulCalibur,DC,1999.0,Fighting,Namco Bandai Games,0.34
392,FIFA Soccer 2003,PS2,2002.0,Sports,Electronic Arts,3.4
2646,UFC Personal Trainer: The Ultimate Fitness System,X360,2011.0,Sports,THQ,0.78
323,Mario & Sonic at the London 2012 Olympic Games,Wii,2011.0,Sports,Sega,3.78
12360,Age of Empires Online,PC,2011.0,Strategy,Microsoft Game Studios,0.06
12523,Destiny: The Collection,PS4,2016.0,Shooter,Activision,0.06
13607,Super Robot Taisen OG Infinite Battle,PS3,2013.0,Fighting,Namco Bandai Games,0.04
2859,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,2007.0,Role-Playing,Square Enix,0.71
3853,Kung Fu Panda,PS3,2008.0,Action,Activision,0.52
5295,Star Wars: Flight of the Falcon,GBA,2003.0,Action,THQ,0.35
13983,Worms: Ultimate Mayhem,PC,2011.0,Strategy,Unknown,0.04
7587,Dead to Rights II,PS2,2005.0,Shooter,Electronic Arts,0.2
6157,Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016.0,Fighting,Namco Bandai Games,0.28
7465,Barbie Fashion Show: An Eye for Style,DS,2008.0,Misc,Activision,0.21
6701,Final Fantasy Type-0,XOne,2015.0,Role-Playing,Square Enix,0.25
15973,Vitamin X: Detective B6,PSP,2012.0,Adventure,D3Publisher,0.02
4092,Need for Speed: Porsche Unleashed,GBA,2004.0,Racing,Zoo Digital Publishing,0.48
10240,Breakout,PS,1999.0,Puzzle,Hasbro Interactive,0.11
12657,Myst III: Exile,XB,2002.0,Adventure,Ubisoft,0.06
6644,Tony Hawk's Proving Ground,Wii,2007.0,Sports,Activision,0.25
11545,Little League World Series Baseball 2010,PS3,2010.0,Sports,Activision,0.08
1165,SoulCalibur IV,X360,2008.0,Fighting,Ubisoft,1.59
9904,Dragon Quest Builders: Revive Alefgard,PS3,2016.0,Role-Playing,Square Enix,0.12
12789,Mame Goma 2: Uchi no Ko ga Ichiban!,DS,2008.0,Simulation,Creative Core,0.06
14053,Nobunaga's Ambition II,3DS,2015.0,Strategy,Tecmo Koei,0.04
15270,World Neverland 2in1 Portable: Olerud Kingdom & Republic of Pluto,PSP,2008.0,Simulation,fonfun,0.02
11397,Kaijuu Busters Powered,DS,2011.0,Action,Namco Bandai Games,0.08
5950,Batman: The Brave and the Bold the Videogame,Wii,2010.0,Action,Warner Bros. Interactive Entertainment,0.3
1039,Star Ocean: Till The End of Time,PS2,2003.0,Role-Playing,Ubisoft,1.72
6587,ATV: Quad Power Racing,GBA,2002.0,Racing,Liquid Games,0.26
8592,Wonder Project J2: Koruro no Mori no Josette,N64,1996.0,Simulation,Enix Corporation,0.16
6766,Classic NES Series: Excitebike,GBA,2004.0,Racing,Nintendo,0.25
1792,Pilotwings,SNES,1990.0,Simulation,Nintendo,1.14
312,Dragon Warrior III,NES,1988.0,Role-Playing,Enix Corporation,3.87
382,Far Cry 3,PS3,2012.0,Shooter,Ubisoft,3.45
5989,FlatOut: Head On,PSP,2008.0,Racing,Empire Interactive,0.29
5725,Hatsune Miku: Project Mirai DX,3DS,2015.0,Misc,Sega,0.31
9576,Gravity Rush Remastered,PS4,2015.0,Action,Sony Computer Entertainment,0.13
15187,Quiz Present Variety Q-Sama!! DS: Pressure Study x Atama Gai Kunaru Drill SP,DS,2011.0,Misc,Plenty,0.02
3971,Babysitting Mama,Wii,2010.0,Simulation,505 Games,0.5
11768,Boxing,PS,2000.0,Fighting,Midas Interactive Entertainment,0.07
12508,Penny Racers,N64,1998.0,Racing,THQ,0.06
8669,Tiger Woods PGA Tour 2004,GC,2003.0,Sports,Electronic Arts,0.16
7229,Age of Empires: Mythologies,DS,2008.0,Strategy,THQ,0.22
12515,Polaris SnoCross,N64,2000.0,Racing,Vatical Entertainment,0.06
2777,Namco Museum Remix,Wii,2007.0,Misc,Atari,0.74
1789,Rabbids Go Home,Wii,2009.0,Platform,Ubisoft,1.14
10609,Bee Movie Game,PS2,2007.0,Action,Activision,0.1
4637,Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!,DS,2010.0,Misc,Namco Bandai Games,0.42
1259,WWF No Mercy,N64,2000.0,Fighting,THQ,1.5
8893,Pro Baseball Spirits 2015,PS3,2015.0,Action,Konami Digital Entertainment,0.15
16329,Element Hunter,DS,2009.0,Role-Playing,Namco Bandai Games,0.01
7660,NFL Street 2,GC,2004.0,Sports,Electronic Arts,0.2
8824,Super Monkey Ball Adventure,GC,2006.0,Platform,Sega,0.15
6429,Imagine: Fashion Party,Wii,2009.0,Simulation,Ubisoft,0.27
12751,Tokyo Twilight Ghost Hunters,PS3,2014.0,Role-Playing,Aksys Games,0.06
15317,Hot 'n' Cold,DS,2009.0,Action,Majesco Entertainment,0.02
10627,Alien Hominid,PS2,2004.0,Shooter,Zoo Digital Publishing,0.1
13845,Haikyu!! Cross Team Match!,3DS,2016.0,Adventure,Namco Bandai Games,0.04
538,inFAMOUS: Second Son,PS4,2014.0,Action,Sony Computer Entertainment,2.78
7567,Neighborhood Games,Wii,2009.0,Misc,THQ,0.2
9552,Backyard Baseball,GC,2003.0,Sports,Infogrames,0.13
7162,Discovery Kids: Dolphin Discovery,DS,2008.0,Simulation,505 Games,0.22
9415,WWE Survivor Series,GBA,2004.0,Fighting,THQ,0.13
9022,Okaeri! Chibi-Robo! Happy Richie Oosouji,DS,2009.0,Adventure,Nintendo,0.14
16393,Alone in the Dark,PC,2008.0,Adventure,Atari,0.01
8355,CSI: Fatal Conspiracy,X360,2010.0,Adventure,Ubisoft,0.17
14715,Rush Hour,PS,1997.0,Misc,Psygnosis,0.03
6072,Surf's Up,PS2,2007.0,Sports,Ubisoft,0.29
11853,River King: Mystic Valley (US sales),DS,2007.0,Sports,Rising Star Games,0.07
5407,Bookworm,DS,2009.0,Puzzle,PopCap Games,0.34
12029,RayStorm,PS,1997.0,Shooter,Sony Computer Entertainment,0.07
3680,Jak X: Combat Racing,PS2,2005.0,Racing,Sony Computer Entertainment,0.55
7450,Super Robot Taisen K,DS,2009.0,Strategy,Namco Bandai Games,0.21
5693,Dynasty Warriors 4 Empires,PS2,2004.0,Action,Tecmo Koei,0.32
10638,Lode Runner 3-D,N64,1998.0,Action,Infogrames,0.1
4190,Doom 64,N64,1997.0,Shooter,Midway Games,0.47
14185,Sacra Terra: Angelic Night,PC,2011.0,Puzzle,Avanquest,0.03
11255,Ephemeral Fantasia,PS2,2000.0,Role-Playing,Konami Digital Entertainment,0.08
7755,Dynasty Warriors: Gundam 2,X360,2008.0,Action,Namco Bandai Games,0.19
65,Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,9.76
2932,Mobile Suit Gundam: Journey to Jaburo,PS2,2000.0,Simulation,Namco Bandai Games,0.7
14648,Tago Akira no Atama no Taisou Dai-2-Shuu: Ginga Oudan Nazotoki Adventure,DS,2009.0,Adventure,Level 5,0.03
14772,My Frogger: Toy Trials,DS,2006.0,Action,Konami Digital Entertainment,0.03
6490,Hey Arnold! The Movie,GBA,2002.0,Platform,THQ,0.26
16110,DoDonPachi Saidaioujou,X360,2013.0,Shooter,Cave,0.01
3538,Dynasty Warriors 5: Xtreme Legends,PS2,2005.0,Action,Tecmo Koei,0.57
8866,All-Star Baseball 2003,GC,2002.0,Sports,Acclaim Entertainment,0.15
5137,Wanted: Weapons of Fate,X360,2009.0,Shooter,Warner Bros. Interactive Entertainment,0.37
4751,NBA 2K11,PS2,2010.0,Action,Take-Two Interactive,0.41
5249,EA Sports MMA,X360,2010.0,Fighting,Electronic Arts,0.36
5914,We Sing Pop!,Wii,2012.0,Misc,Nordic Games,0.3
15482,Tom Clancy's Splinter Cell Classic Trilogy HD,PS3,2011.0,Action,Ubisoft,0.02
3504,Shin Megami Tensei IV,3DS,2013.0,Role-Playing,Atlus,0.57
16243,Mahjong Taikai IV,PS3,2006.0,Misc,Tecmo Koei,0.01
11062,Mimana Iyar Chronicle,PSP,2009.0,Role-Playing,GungHo,0.09
2070,Killzone: Mercenary,PSV,2013.0,Shooter,Sony Computer Entertainment Europe,1.0
7935,We Dance,Wii,2011.0,Misc,Nordic Games,0.19
14539,SD Gundam: Gashapon Wars,Wii,2010.0,Strategy,Namco Bandai Games,0.03
9010,Fox Sports Golf '99,PS,1997.0,Sports,Gremlin Interactive Ltd,0.14
12199,Worms 3D,GC,2003.0,Strategy,Sega,0.07
1449,Monster Hunter Freedom,PSP,2005.0,Role-Playing,Capcom,1.35
6505,The Elder Scrolls IV: Oblivion,PC,2006.0,Role-Playing,Take-Two Interactive,0.26
13087,Second Sight,GC,2004.0,Adventure,Codemasters,0.05
6652,Up,PS3,2009.0,Action,THQ,0.25
9216,Ninjatown,DS,2008.0,Strategy,SouthPeak Games,0.14
7646,From Russia With Love,XB,2005.0,Action,Electronic Arts,0.2
14091,Sangoku Koi Senki: Otome no Heihou!,PSP,2012.0,Adventure,Prototype,0.04
7805,FaceBreaker,X360,2008.0,Fighting,Electronic Arts,0.19
10809,SNK vs. Capcom Card Fighters DS,DS,2006.0,Strategy,Ignition Entertainment,0.1
13442,Secret Files: Tunguska,PC,2006.0,Adventure,DreamCatcher Interactive,0.05
12669,Generation of Chaos,PSP,2005.0,Role-Playing,Midas Interactive Entertainment,0.06
14513,D.C.I.F.: Da Capo Innocent Finale,PS2,2009.0,Adventure,Sweets,0.03
12864,Learn Science,DS,2010.0,Misc,DreamCatcher Interactive,0.05
11902,SpongeBob's Truth or Square,PSP,2009.0,Action,THQ,0.07
39,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,13.04
11506,Disney's Meet the Robinsons,X360,2007.0,Action,Disney Interactive Studios,0.08
11874,Viewpoint,PS,1995.0,Shooter,Electronic Arts,0.07
13056,Phantom Crash,XB,2002.0,Simulation,Phantagram,0.05
2714,Ace Attorney Investigations: Miles Edgeworth,DS,2009.0,Adventure,Capcom,0.76
919,Star Fox Adventures,GC,2002.0,Adventure,Nintendo,1.87
10654,NBA Ballers: Rebound,PSP,2006.0,Sports,Midway Games,0.1
16581,Fit & Fun,Wii,2011.0,Sports,Unknown,0.01
15366,UnchainBlades EXXiV,PSP,2012.0,Role-Playing,FuRyu,0.02
13110,Blues Brothers 2000,N64,2000.0,Platform,Virgin Interactive,0.05
8393,Bakugan Battle Brawlers: Defenders of the Core,Wii,2010.0,Action,Activision,0.17
14736,Dragon Tamer: Sound Spirit,DS,2007.0,Role-Playing,Namco Bandai Games,0.03
5915,Showdown: Legends of Wrestling,PS2,2004.0,Fighting,Acclaim Entertainment,0.3
3657,Derby Stallion 04,PS2,2004.0,Sports,Enterbrain,0.55
130,Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,6.41
10946,Tak: The Great Juju Challenge,DS,2005.0,Platform,THQ,0.09
1227,Donkey Kong Country: Tropical Freeze,WiiU,2014.0,Platform,Nintendo,1.52
13668,Ferrari Challenge Trofeo Pirelli,PS3,2008.0,Racing,System 3 Arcade Software,0.04
10723,Higurashi no Nakukoru ni Kizuna: Dai-Ni-Kan - Sou,DS,2008.0,Adventure,Alchemist,0.1
8817,Kowloon's Gate,PS,1997.0,Adventure,Sony Computer Entertainment,0.15
15549,Miyako,PSP,2010.0,Adventure,Idea Factory,0.02
6807,Marvel vs. Capcom Origins,PS2,2006.0,Fighting,Capcom,0.24
6174,Conflict: Desert Storm II - Back to Bagdhad,XB,2003.0,Shooter,SCi,0.28
56,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,10.57
13216,Strikers 1945,SAT,1996.0,Shooter,Atlus,0.05
4822,NCAA GameBreaker 2000,PS,1999.0,Sports,989 Studios,0.4
15930,Harukanaru Toki no Naka de 6,PSP,2015.0,Action,Tecmo Koei,0.02
14243,Trials Fusion,PC,2014.0,Racing,Ubisoft,0.03
655,Dead Island,X360,2011.0,Action,Deep Silver,2.39
12882,Naval Ops: Commander,PS2,2004.0,Simulation,Tecmo Koei,0.05
4786,Hatsune Miku: Project Diva F 2nd,PSV,2014.0,Misc,Sega,0.4
2452,Thief (2014),PS4,2014.0,Action,Square Enix,0.84
6097,Bratz: Super Babyz,DS,2008.0,Action,THQ,0.29
4049,Doom 3 BFG Edition,X360,2012.0,Shooter,Bethesda Softworks,0.49
8001,Dance Dance Revolution: Disney Grooves,Wii,2009.0,Simulation,Konami Digital Entertainment,0.18
3116,Drakengard,PS2,2003.0,Role-Playing,Square Enix,0.65
11094,Kenka Banchou 2: Full Throttle,PS2,2007.0,Action,Spike,0.09
143,Sonic the Hedgehog 2,GEN,1992.0,Platform,Sega,6.03
4217,MX vs. ATV: Alive,PS3,2011.0,Racing,THQ,0.47
7460,Dead to Rights: Retribution,X360,2010.0,Shooter,Namco Bandai Games,0.21
6604,Doukyuusei if,SAT,1996.0,Role-Playing,NEC,0.26
16217,Far East of Eden II: Manji Maru,DS,2006.0,Role-Playing,Hudson Soft,0.01
6235,Mass Effect Trilogy,PC,2012.0,Action,Electronic Arts,0.28
11392,Smart Bomb,PSP,2005.0,Puzzle,Eidos Interactive,0.08
14656,In Cold Blood,PS,2000.0,Adventure,Sony Computer Entertainment,0.03
6424,Jikkyou Powerful Pro Yakyuu 2010,PS3,2010.0,Sports,Konami Digital Entertainment,0.27
6193,NCAA March Madness 2005,XB,2004.0,Sports,Electronic Arts,0.28
6606,MVP Baseball 2004,GC,2004.0,Sports,Electronic Arts,0.26
12756,Gintama no Sugoroku,PSP,2013.0,Action,Namco Bandai Games,0.06
13646,Guilty Gear XX Accent Core,Wii,2007.0,Fighting,505 Games,0.04
2094,EyePet,PS3,2009.0,Simulation,Sony Computer Entertainment,0.99
16176,San-X Character Channel: All-Star Daishuugou!,DS,2008.0,Action,MTO,0.01
8481,Rio,DS,2011.0,Misc,THQ,0.16
16054,Samurai Shodown Anthology (JP sales),PS2,2008.0,Fighting,Ignition Entertainment,0.01
2884,WWF Attitude,N64,1999.0,Fighting,Acclaim Entertainment,0.71
10613,USA Today Puzzle Craze,DS,2009.0,Puzzle,Destineer,0.1
11625,Ford vs. Chevy,XB,2005.0,Racing,Global Star,0.08
10601,Jade Cocoon 2,PS2,2001.0,Role-Playing,Ubisoft,0.1
12310,Samurai Warriors Chronicles 3,PSV,2014.0,Action,Tecmo Koei,0.06
6418,Super Collapse! 3,DS,2007.0,Puzzle,Mumbo Jumbo,0.27
13223,Beastly Frantic Foto,DS,2011.0,Puzzle,Storm City Games,0.05
1579,Wheel of Fortune,PS,1998.0,Misc,Hasbro Interactive,1.26
1955,DJ Hero,X360,2009.0,Misc,Activision,1.06
14364,F1 2002,GC,2002.0,Racing,Electronic Arts,0.03
15984,Chameleon: To Dye For!,DS,2006.0,Puzzle,505 Games,0.01
13312,Forza Motorsport 3: Ultimate Edition,X360,2010.0,Racing,Microsoft Game Studios,0.05
6191,NFL Blitz 20-02,PS2,2002.0,Sports,Midway Games,0.28
1861,Popeye,NES,1983.0,Platform,Nintendo,1.1
4448,Ms. Pac-Man Maze Madness,PS,2000.0,Puzzle,Namco Bandai Games,0.44
61,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,10.21
12605,pro evolution soccer 2011,PC,2010.0,Sports,Konami Digital Entertainment,0.06
4811,Battalion Wars,GC,2005.0,Strategy,Nintendo,0.4
12753,Dino Pets,DS,2009.0,Simulation,Avanquest,0.06
14158,Harukanaru Toki no Naka de Yumenoukihashi Special,PS2,2009.0,Adventure,Tecmo Koei,0.03
7940,3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015.0,Action,Namco Bandai Games,0.19
67,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,9.59
15832,I Love Horses: Rider's Paradise,Wii,2010.0,Simulation,Destineer,0.02
13568,True Love Story 3,PS2,2001.0,Simulation,Enterbrain,0.04
5978,Fisherman's Bait 2: Big Ol' Bass,PS,1999.0,Sports,Konami Digital Entertainment,0.29
13415,Garou Densetsu 3: Road to the Final Victory,SAT,1996.0,Fighting,SNK,0.05
4626,James Bond 007: Everything or Nothing,GC,2004.0,Shooter,Electronic Arts,0.42
1107,Mario Party 6,GC,2004.0,Misc,Nintendo,1.65
11934,Homie Rollerz,DS,2008.0,Racing,Destineer,0.07
3994,Major League Baseball 2K12,X360,2012.0,Sports,Take-Two Interactive,0.5
14318,Vegas Casino,DS,2007.0,Misc,Neko Entertainment,0.03
1791,Commando,NES,1986.0,Action,Capcom,1.14
12872,Carve,XB,2004.0,Racing,Global Star,0.05
4027,Lego Batman 3: Beyond Gotham,PSV,2014.0,Action,Warner Bros. Interactive Entertainment,0.49
7854,Sudeki,XB,2004.0,Role-Playing,Microsoft Game Studios,0.19
3326,Madden NFL 2000,N64,1999.0,Sports,Electronic Arts,0.61
14232,Emma at the Farm,DS,2008.0,Adventure,Aspyr,0.03
14704,The Last Guy,PS3,2009.0,Action,Sony Computer Entertainment,0.03
13950,Resident Evil 6,XOne,2016.0,Shooter,Capcom,0.04
2843,Kangaroo,2600,1982.0,Platform,Atari,0.72
1565,Sonic Adventure DX: Director's Cut,GC,2003.0,Platform,Sega,1.27
10658,Digimon All-Star Rumble,PS3,2014.0,Fighting,Namco Bandai Games,0.1
11031,Karaoke Joysound Wii Super DX: Hitori de Minna de Utai Houdai!,Wii,2010.0,Misc,Hudson Soft,0.09
4396,ATV Quad Power Racing 2,XB,2003.0,Racing,Acclaim Entertainment,0.45
900,PaRappa The Rapper,PS,1996.0,Misc,Sony Computer Entertainment,1.92
16336,Nakayoshi All-Stars: Mezase Gakuen Idol,DS,2008.0,Misc,Creative Core,0.01
2771,Mario & Luigi: Paper Jam,3DS,2015.0,Role-Playing,Nintendo,0.74
11325,Ultimate Brain Games,GBA,2003.0,Misc,Telegames,0.08
12776,KimiKiss (ebKore+),PS2,2008.0,Adventure,Enterbrain,0.06
1911,Ready 2 Rumble Boxing,PS,1998.0,Sports,Midway Games,1.08
10866,Blitz: Overtime,PSP,2006.0,Sports,Midway Games,0.09
7286,Jackie Chan: Stuntmaster,PS,1999.0,Action,Sony Computer Entertainment,0.22
274,Street Fighter IV,PS3,2009.0,Fighting,Capcom,4.19
11649,Slayers Royal 2,SAT,1998.0,Role-Playing,Kadokawa Shoten,0.08
5017,Ninja: Shadow of Darkness,PS,1998.0,Action,Eidos Interactive,0.38
6871,Ready 2 Rumble Boxing: Round 2,N64,2000.0,Fighting,Midway Games,0.24
7461,NCAA March Madness 07,X360,2007.0,Sports,Electronic Arts,0.21
6956,Naruto: Path of the Ninja 2,DS,2006.0,Role-Playing,Takara Tomy,0.23
11262,Diva Girls: Divas on Ice,Wii,2009.0,Sports,505 Games,0.08
12423,Barbie Horse Adventures: Wild Horse Rescue,XB,2003.0,Sports,Vivendi Games,0.06
5674,Madden NFL 2002,GBA,2001.0,Sports,Electronic Arts,0.32
6560,X-Men vs. Street Fighter,SAT,1997.0,Fighting,Capcom,0.26
14449,Keshisasu-Kun: Battle Kas-tival,DS,2010.0,Action,Konami Digital Entertainment,0.03
7914,3rd Super Robot Wars Z Jigoku Hen,PSV,2014.0,Role-Playing,Namco Bandai Games,0.19
9879,Monster Jam: Path of Destruction,X360,2010.0,Racing,Activision,0.12
5749,Super Robot Taisen Complete Box,PS,1999.0,Strategy,Banpresto,0.31
599,Dragon Age: Origins,X360,2009.0,Role-Playing,Electronic Arts,2.57
12654,Broken Helix,PS,1997.0,Action,Konami Digital Entertainment,0.06
2890,Battle Arena Toshinden 2,PS,1995.0,Fighting,Sony Computer Entertainment,0.71
2605,Invizimals,PSP,2009.0,Strategy,Sony Computer Entertainment,0.79
12124,Cartoon Network: Punch Time Explosion XL,PS3,2011.0,Fighting,Crave Entertainment,0.07
9570,Warriors Orochi 2,PS2,2008.0,Action,Tecmo Koei,0.13
12165,World Racing,XB,2003.0,Racing,TDK Mediactive,0.07
5248,Harry Potter and the Chamber of Secrets,XB,2002.0,Action,Electronic Arts,0.36
12798,Tony Hawk's Pro Skater 5,PS3,2015.0,Sports,Activision,0.06
12237,Hasbro Family Game Night Fun Pack,X360,2011.0,Misc,Electronic Arts,0.07
